word,bengaliMeaning,pronunciation,example,exampleBengali,difficulty,level,partOfSpeech,Type of sentence,Type of tense
Squeezed,চিপা,/skwˈizd/,Experts have squeezeded this issue for decades.,বিশেষজ্ঞরা কয়েক দশক ধরে এই বিষয়টি চিপা করে আসছেন।,Medium,IELTS Band 6-7,verb,Simple,Present Perfect
Stacking,একটার ওপর একটা সাজানো,/stˈækɪŋ/,"If we act now, we can stacking this matter.",এখন পদক্ষেপ নিলে আমরা বিষয়টি একটার ওপর একটা সাজানো করতে পারবো।,Medium,IELTS Band 6-7,verb,Complex,Present Simple
Staff,কর্মী,/stˈæf/,Researchers have studied this staff for many years.,গবেষকরা বহু বছর ধরে এই কর্মী নিয়ে গবেষণা করেছেন।,Easy,IELTS Band 5-6,noun,Simple,Present Perfect
Stake,বাজি,/stˈeɪk/,"Although the stake seemed minor, it changed everything.","যদিও বাজি বিষয়টি সামান্য মনে হয়েছিল, এটি সবকিছু বদলে দিয়েছিল।",Easy,IELTS Band 5-6,noun,Complex,Past Simple
Standstill,স্থবিরতা,/stˈændstɪl/,Every student should understand the standstill before the exam.,পরীক্ষার আগে প্রতিটি শিক্ষার্থীর স্থবিরতা সম্পর্কে বোঝা উচিত।,Hard,IELTS Band 7-9,noun,Simple,Present Simple
Starvation,অনাহার,/stɑrvˈeɪʃʌn/,The starvation will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে অনাহার বড় ভূমিকা রাখবে।,Hard,IELTS Band 7-9,noun,Simple,Future Simple
Statement,বিবৃতি,/stˈeɪtmʌnt/,It is statement to prepare well before the test.,পরীক্ষার আগে ভালোভাবে প্রস্তুতি নেওয়া বিবৃতি।,Medium,IELTS Band 6-7,adjective,Simple,Present Simple
Statistic,পরিসংখ্যান,/stʌtˈɪstɪk/,"Although it looked statistic, the plan actually worked.","যদিও এটি পরিসংখ্যান মনে হয়েছিল, পরিকল্পনাটি আসলে কাজ করেছিল।",Medium,IELTS Band 6-7,adjective,Complex,Past Simple
Statistical,পরিসংখ্যানিক,/stʌtˈɪstɪkʌl/,Most experts consider this method quite statistical.,বেশিরভাগ বিশেষজ্ঞ এই পদ্ধতিটিকে বেশ পরিসংখ্যানিক মনে করেন।,Hard,IELTS Band 7-9,adjective,Simple,Present Simple
status,অবস্থা/পদমর্যাদা,/stˈætʌs/,The status was clearly explained in the report.,প্রতিবেদনে অবস্থা/পদমর্যাদা বিষয়টি স্পষ্টভাবে ব্যাখ্যা করা হয়েছিল।,Easy,IELTS Band 5-6,noun,Simple,Past Simple
Statutory,সংবিধিবদ্ধ,/stˈætʃʌtɔri/,"Because the situation was so statutory, everyone took notice.",পরিস্থিতিটি এতটাই সংবিধিবদ্ধ ছিল যে সবাই লক্ষ্য করেছিল।,Medium,IELTS Band 6-7,adjective,Complex,Past Simple
Stay fit,সুস্থ থাকা,,"Although the stay fit seemed minor, it changed everything.","যদিও সুস্থ থাকা বিষয়টি সামান্য মনে হয়েছিল, এটি সবকিছু বদলে দিয়েছিল।",Medium,IELTS Band 6-7,noun,Complex,Past Simple
Steadily,স্থিরভাবে,/stˈɛdʌli/,"Because she worked steadily, she finished on time.",সে স্থিরভাবে কাজ করেছিল বলে সময়মতো শেষ করতে পেরেছিল।,Medium,IELTS Band 6-7,adverb,Complex,Past Simple
Steep,ঢু,/stˈip/,The steep will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে ঢু বড় ভূমিকা রাখবে।,Easy,IELTS Band 5-6,noun,Simple,Future Simple
Steeper,খাড়া,/stˈipɜr/,"Because of the steeper, the whole plan had to change.",খাড়া-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Medium,IELTS Band 6-7,noun,Complex,Past Simple
Stem from,কোনো কিছু থেকে জন্মানো/হওয়া,,The article discusses the stem from in great detail.,প্রবন্ধটিতে কোনো কিছু থেকে জন্মানো/হওয়া নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Medium,IELTS Band 6-7,noun,Simple,Present Simple
Stepped,পদক্ষেপ,/stˈɛpt/,The team is steppeding new ways to solve it.,দলটি এটি সমাধানের নতুন উপায় পদক্ষেপ করছে।,Medium,IELTS Band 6-7,verb,Simple,Present Continuous
Sterile,অনুর্বর,/stˈɛrʌl/,The sterile was clearly explained in the report.,প্রতিবেদনে অনুর্বর বিষয়টি স্পষ্টভাবে ব্যাখ্যা করা হয়েছিল।,Medium,IELTS Band 6-7,noun,Simple,Past Simple
Stew,ভাপে সিদ্ধ করা,/stˈu/,Researchers have studied this stew for many years.,গবেষকরা বহু বছর ধরে এই ভাপে সিদ্ধ করা নিয়ে গবেষণা করেছেন।,Easy,IELTS Band 5-6,noun,Simple,Present Perfect
Stifled,কণ্ঠ রোধ করা,/stˈaɪfʌld/,They stifled this issue every single day.,তারা প্রতিদিন এই বিষয়টি কণ্ঠ রোধ করে।,Medium,IELTS Band 6-7,verb,Simple,Present Simple
Stimulant,উদ্দীপক,/stˈɪmjʌlʌnt/,Most experts consider this method quite stimulant.,বেশিরভাগ বিশেষজ্ঞ এই পদ্ধতিটিকে বেশ উদ্দীপক মনে করেন।,Medium,IELTS Band 6-7,adjective,Simple,Present Simple
Stimulate,চেতনা,/stˈɪmjʌleɪt/,Experts have stimulated this issue for decades.,বিশেষজ্ঞরা কয়েক দশক ধরে এই বিষয়টি চেতনা করে আসছেন।,Hard,IELTS Band 7-9,verb,Simple,Present Perfect
Stimulated,অনুপ্রাণিত,/stˈɪmjʌleɪtɪd/,"If we act now, we can stimulated this matter.",এখন পদক্ষেপ নিলে আমরা বিষয়টি অনুপ্রাণিত করতে পারবো।,Hard,IELTS Band 7-9,verb,Complex,Present Simple
Stimulating,উদ্দীপক,/stˈɪmjʌleɪtɪŋ/,The team is stimulatinging new ways to solve it.,দলটি এটি সমাধানের নতুন উপায় উদ্দীপক করছে।,Hard,IELTS Band 7-9,verb,Simple,Present Continuous
Stolen,চুরি করা,/stˈoʊlʌn/,"Next year, the company will stolen this plan.",আগামী বছর কোম্পানিটি এই পরিকল্পনা চুরি করবে।,Easy,IELTS Band 5-6,verb,Simple,Future Simple
Storage,সংরক্ষণ,/stˈɔrʌdʒ/,The storage was clearly explained in the report.,প্রতিবেদনে সংরক্ষণ বিষয়টি স্পষ্টভাবে ব্যাখ্যা করা হয়েছিল।,Medium,IELTS Band 6-7,noun,Simple,Past Simple
Storm,ঝড়,/stˈɔrm/,Researchers have studied this storm for many years.,গবেষকরা বহু বছর ধরে এই ঝড় নিয়ে গবেষণা করেছেন।,Easy,IELTS Band 5-6,noun,Simple,Present Perfect
Strain,চাপ,/strˈeɪn/,"Although the strain seemed minor, it changed everything.","যদিও চাপ বিষয়টি সামান্য মনে হয়েছিল, এটি সবকিছু বদলে দিয়েছিল।",Easy,IELTS Band 5-6,noun,Complex,Past Simple
Strange,অদ্ভূত,/strˈeɪndʒ/,Every student should understand the strange before the exam.,পরীক্ষার আগে প্রতিটি শিক্ষার্থীর অদ্ভূত সম্পর্কে বোঝা উচিত।,Medium,IELTS Band 6-7,noun,Simple,Present Simple
Strap,চাবুক,/strˈæp/,The strap will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে চাবুক বড় ভূমিকা রাখবে।,Easy,IELTS Band 5-6,noun,Simple,Future Simple
strategic,কৌশলগত/ সুকৌশলী,/strʌtˈidʒɪk/,It is strategic to prepare well before the test.,পরীক্ষার আগে ভালোভাবে প্রস্তুতি নেওয়া কৌশলগত/ সুকৌশলী।,Medium,IELTS Band 6-7,adjective,Simple,Present Simple
Strategies,কৌশল,/strˈætʌdʒiz/,The article discusses the strategies in great detail.,প্রবন্ধটিতে কৌশল নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Hard,IELTS Band 7-9,noun,Simple,Present Simple
Strayed,পথভ্রষ্ট,/strˈeɪd/,"Because they strayeded early, the project succeeded.","যেহেতু তারা আগেই পথভ্রষ্ট করেছিল, প্রকল্পটি সফল হয়েছিল।",Medium,IELTS Band 6-7,verb,Complex,Past Simple
Stressful,চাপযুক্ত,/strˈɛsfʌl/,The area has become increasingly stressful in recent years.,সাম্প্রতিক বছরগুলোতে এলাকাটি ক্রমশ চাপযুক্ত হয়ে উঠেছে।,Medium,IELTS Band 6-7,adjective,Simple,Present Perfect
stretches,প্রসারিত/ বিস্তার,/strˈɛtʃʌz/,Researchers have studied this stretches for many years.,গবেষকরা বহু বছর ধরে এই প্রসারিত/ বিস্তার নিয়ে গবেষণা করেছেন।,Medium,IELTS Band 6-7,noun,Simple,Present Perfect
Strike,ধর্মঘট,/strˈaɪk/,"Although the strike seemed minor, it changed everything.","যদিও ধর্মঘট বিষয়টি সামান্য মনে হয়েছিল, এটি সবকিছু বদলে দিয়েছিল।",Easy,IELTS Band 5-6,noun,Complex,Past Simple
Strikingly,আকর্ষণীয়ভাবে,/strˈaɪkɪŋli/,"Because she worked strikingly, she finished on time.",সে আকর্ষণীয়ভাবে কাজ করেছিল বলে সময়মতো শেষ করতে পেরেছিল।,Hard,IELTS Band 7-9,adverb,Complex,Past Simple
string,দড়ি/সুতা/তার,/strˈɪŋ/,The team is stringing new ways to solve it.,দলটি এটি সমাধানের নতুন উপায় দড়ি/সুতা/তার করছে।,Easy,IELTS Band 5-6,verb,Simple,Present Continuous
Strip,নগ্ন করা,/strˈɪp/,"Because of the strip, the whole plan had to change.",নগ্ন করা-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Easy,IELTS Band 5-6,noun,Complex,Past Simple
Striving,সংগ্রাম করা,/strˈaɪvɪŋ/,"Because they strivinged early, the project succeeded.","যেহেতু তারা আগেই সংগ্রাম করেছিল, প্রকল্পটি সফল হয়েছিল।",Medium,IELTS Band 6-7,verb,Complex,Past Simple
Structure,গঠন,/strˈʌktʃɜr/,Scientists are still examining the structure closely.,বিজ্ঞানীরা এখনো গঠন খুব কাছ থেকে পর্যবেক্ষণ করছেন।,Medium,IELTS Band 6-7,noun,Simple,Present Continuous
Structured,কাঠামোবদ্ধ,/strˈʌktʃɜrd/,She structureded the problem before anyone noticed.,কেউ লক্ষ্য করার আগেই সে সমস্যাটি কাঠামোবদ্ধ করেছিল।,Hard,IELTS Band 7-9,verb,Simple,Past Simple
Struggle,সংগ্রাম,/strˈʌgʌl/,Researchers have studied this struggle for many years.,গবেষকরা বহু বছর ধরে এই সংগ্রাম নিয়ে গবেষণা করেছেন।,Medium,IELTS Band 6-7,noun,Simple,Present Perfect
struggled,সংগ্রাম করা/কষ্ট করা,/strˈʌgʌld/,"If we act now, we can struggled this matter.",এখন পদক্ষেপ নিলে আমরা বিষয়টি সংগ্রাম করা/কষ্ট করতে পারবো।,Medium,IELTS Band 6-7,verb,Complex,Present Simple
struggling,সংগ্রাম/কষ্ট করা,/strˈʌgʌlɪŋ/,The team is strugglinging new ways to solve it.,দলটি এটি সমাধানের নতুন উপায় সংগ্রাম/কষ্ট করছে।,Hard,IELTS Band 7-9,verb,Simple,Present Continuous
Stubborn,একগুঁয়ে,/stˈʌbɜrn/,The stubborn will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে একগুঁয়ে বড় ভূমিকা রাখবে।,Medium,IELTS Band 6-7,noun,Simple,Future Simple
Stuff,উপাদান,/stˈʌf/,"Because of the stuff, the whole plan had to change.",উপাদান-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Easy,IELTS Band 5-6,noun,Complex,Past Simple
Stumble,হোঁচট খাওয়া,/stˈʌmbʌl/,The article discusses the stumble in great detail.,প্রবন্ধটিতে হোঁচট খাওয়া নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Medium,IELTS Band 6-7,noun,Simple,Present Simple
Stunning,অসাধারণ,/stˈʌnɪŋ/,She stunninged the problem before anyone noticed.,কেউ লক্ষ্য করার আগেই সে সমস্যাটি অসাধারণ করেছিল।,Medium,IELTS Band 6-7,verb,Simple,Past Simple
Subatomic,উপজাতীয়,/sʌbʌtˈɑmɪk/,"Although it looked subatomic, the plan actually worked.","যদিও এটি উপজাতীয় মনে হয়েছিল, পরিকল্পনাটি আসলে কাজ করেছিল।",Hard,IELTS Band 7-9,adjective,Complex,Past Simple
Subdue,বশীভূত করা,/sʌbdˈu/,Researchers have studied this subdue for many years.,গবেষকরা বহু বছর ধরে এই বশীভূত করা নিয়ে গবেষণা করেছেন।,Easy,IELTS Band 5-6,noun,Simple,Present Perfect
Submissive,বিনয়ী,/sʌbmˈɪsɪv/,The area has become increasingly submissive in recent years.,সাম্প্রতিক বছরগুলোতে এলাকাটি ক্রমশ বিনয়ী হয়ে উঠেছে।,Hard,IELTS Band 7-9,adjective,Simple,Present Perfect
submitted,উপস্থাপিত,/sʌbmˈɪtɪd/,"Next year, the company will submitted this plan.",আগামী বছর কোম্পানিটি এই পরিকল্পনা উপস্থাপিত করবে।,Medium,IELTS Band 6-7,verb,Simple,Future Simple
Subsequently,পরবর্তীকালে,/sˈʌbsʌkwʌntli/,She answered the question subsequently.,সে পরবর্তীকালে প্রশ্নের উত্তর দিয়েছিল।,Hard,IELTS Band 7-9,adverb,Simple,Past Simple
substitute,বিকল্প,/sˈʌbstʌtut/,"Because of the substitute, the whole plan had to change.",বিকল্প-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Hard,IELTS Band 7-9,noun,Complex,Past Simple
Subtropical,গ্র্মমগ্ুলীয়,,"Although it looked subtropical, the plan actually worked.","যদিও এটি গ্র্মমগ্ুলীয় মনে হয়েছিল, পরিকল্পনাটি আসলে কাজ করেছিল।",Hard,IELTS Band 7-9,adjective,Complex,Past Simple
Suburb,উপশহর,/sˈʌbɜrb/,Scientists are still examining the suburb closely.,বিজ্ঞানীরা এখনো উপশহর খুব কাছ থেকে পর্যবেক্ষণ করছেন।,Easy,IELTS Band 5-6,noun,Simple,Present Continuous
Success,সাফল্য,/sʌksˈɛs/,The success was clearly explained in the report.,প্রতিবেদনে সাফল্য বিষয়টি স্পষ্টভাবে ব্যাখ্যা করা হয়েছিল।,Medium,IELTS Band 6-7,noun,Simple,Past Simple
Successful,সফল,/sʌksˈɛsfʌl/,"Because the situation was so successful, everyone took notice.",পরিস্থিতিটি এতটাই সফল ছিল যে সবাই লক্ষ্য করেছিল।,Hard,IELTS Band 7-9,adjective,Complex,Past Simple
Succinctly,সংক্ষিপ্তভাবে,/sʌksˈɪŋktli/,He succinctly explains difficult topics in class.,সে ক্লাসে কঠিন বিষয়গুলো সংক্ষিপ্তভাবে ব্যাখ্যা করে।,Hard,IELTS Band 7-9,adverb,Simple,Present Simple
Sudden,হঠাৎ,/sˈʌdʌn/,"Because they suddened early, the project succeeded.","যেহেতু তারা আগেই হঠাৎ করেছিল, প্রকল্পটি সফল হয়েছিল।",Easy,IELTS Band 5-6,verb,Complex,Past Simple
Suffer from,ভোগা,,The suffer from will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে ভোগা বড় ভূমিকা রাখবে।,Hard,IELTS Band 7-9,noun,Simple,Future Simple
Suffocation,শ্বাসরোধ,/sʌfʌkˈeɪʃʌn/,"Because of the suffocation, the whole plan had to change.",শ্বাসরোধ-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Hard,IELTS Band 7-9,noun,Complex,Past Simple
Suit,মামলা,/sˈut/,The article discusses the suit in great detail.,প্রবন্ধটিতে মামলা নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Easy,IELTS Band 5-6,noun,Simple,Present Simple
Suited,উপযুক্ত,/sˈutɪd/,"If we act now, we can suited this matter.",এখন পদক্ষেপ নিলে আমরা বিষয়টি উপযুক্ত করতে পারবো।,Easy,IELTS Band 5-6,verb,Complex,Present Simple
Summarize,সারসংক্ষেপ,/sˈʌmɜraɪz/,The team is summarizing new ways to solve it.,দলটি এটি সমাধানের নতুন উপায় সারসংক্ষেপ করছে।,Hard,IELTS Band 7-9,verb,Simple,Present Continuous
Superficial,অতিমাত্রায়,/supɜrfˈɪʃʌl/,It is superficial to prepare well before the test.,পরীক্ষার আগে ভালোভাবে প্রস্তুতি নেওয়া অতিমাত্রায়।,Hard,IELTS Band 7-9,adjective,Simple,Present Simple
Superficially,ভাসা ভাসা ভাবে,/sˈupɜrfɪʃʌli/,He superficially explains difficult topics in class.,সে ক্লাসে কঠিন বিষয়গুলো ভাসা ভাসা ভাবে ব্যাখ্যা করে।,Hard,IELTS Band 7-9,adverb,Simple,Present Simple
Superior,উচ্চতর,/supˈɪriɜr/,Every student should understand the superior before the exam.,পরীক্ষার আগে প্রতিটি শিক্ষার্থীর উচ্চতর সম্পর্কে বোঝা উচিত।,Medium,IELTS Band 6-7,noun,Simple,Present Simple
Supervise welll,করা,,The supervise welll will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে করা বড় ভূমিকা রাখবে।,Hard,IELTS Band 7-9,noun,Simple,Future Simple
Supervisor,তত্ত্বাবধায়ক,/sˈupɜrvaɪzɜr/,"Because of the supervisor, the whole plan had to change.",তত্ত্বাবধায়ক-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Hard,IELTS Band 7-9,noun,Complex,Past Simple
Supplanted,স্থানচ্যুত করা,/sʌplˈæntɪd/,"If we act now, we can supplanted this matter.",এখন পদক্ষেপ নিলে আমরা বিষয়টি স্থানচ্যুত করতে পারবো।,Hard,IELTS Band 7-9,verb,Complex,Present Simple
Support,সমর্থন,/sʌpˈɔrt/,Scientists are still examining the support closely.,বিজ্ঞানীরা এখনো সমর্থন খুব কাছ থেকে পর্যবেক্ষণ করছেন।,Medium,IELTS Band 6-7,noun,Simple,Present Continuous
Supposedly,অনুমান অনুসারে,/sʌpˈoʊzʌdli/,She answered the question supposedly.,সে অনুমান অনুসারে প্রশ্নের উত্তর দিয়েছিল।,Hard,IELTS Band 7-9,adverb,Simple,Past Simple
Suppressing,দমন করা,/sʌprˈɛsɪŋ/,"Because they suppressinged early, the project succeeded.","যেহেতু তারা আগেই দমন করেছিল, প্রকল্পটি সফল হয়েছিল।",Hard,IELTS Band 7-9,verb,Complex,Past Simple
Supremely,সর্বোচ্চভাবে,/suprˈimʌli/,He supremely explains difficult topics in class.,সে ক্লাসে কঠিন বিষয়গুলো সর্বোচ্চভাবে ব্যাখ্যা করে।,Medium,IELTS Band 6-7,adverb,Simple,Present Simple
Surfaces,পৃষ্ঠ,/sˈɜrfʌsʌz/,Every student should understand the surfaces before the exam.,পরীক্ষার আগে প্রতিটি শিক্ষার্থীর পৃষ্ঠ সম্পর্কে বোঝা উচিত।,Medium,IELTS Band 6-7,noun,Simple,Present Simple
Surprising,আশ্চর্যজনক,/sɜrprˈaɪzɪŋ/,Experts have surprisinged this issue for decades.,বিশেষজ্ঞরা কয়েক দশক ধরে এই বিষয়টি আশ্চর্যজনক করে আসছেন।,Hard,IELTS Band 7-9,verb,Simple,Present Perfect
Surrounded,ঘিরে থাকা,/sɜrˈaʊndɪd/,"If we act now, we can surrounded this matter.",এখন পদক্ষেপ নিলে আমরা বিষয়টি ঘিরে থাকা করতে পারবো।,Hard,IELTS Band 7-9,verb,Complex,Present Simple
Surveillance,নজরদারি করা,/sɜrvˈeɪlʌns/,The article discusses the surveillance in great detail.,প্রবন্ধটিতে নজরদারি করা নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Hard,IELTS Band 7-9,noun,Simple,Present Simple
Surveying,মাপঝোঁক,/sɜrvˈeɪɪŋ/,"Next year, the company will surveying this plan.",আগামী বছর কোম্পানিটি এই পরিকল্পনা মাপঝোঁক করবে।,Medium,IELTS Band 6-7,verb,Simple,Future Simple
Susceptible,সক্ষম,/sʌsˈɛptʌbʌl/,The area has become increasingly susceptible in recent years.,সাম্প্রতিক বছরগুলোতে এলাকাটি ক্রমশ সক্ষম হয়ে উঠেছে।,Hard,IELTS Band 7-9,adjective,Simple,Present Perfect
Suspect,সন্দেহ,/sʌspˈɛkt/,Researchers have studied this suspect for many years.,গবেষকরা বহু বছর ধরে এই সন্দেহ নিয়ে গবেষণা করেছেন।,Medium,IELTS Band 6-7,noun,Simple,Present Perfect
Suspected,সন্দেহভাজন,/sʌspˈɛktɪd/,She suspecteded the problem before anyone noticed.,কেউ লক্ষ্য করার আগেই সে সমস্যাটি সন্দেহভাজন করেছিল।,Medium,IELTS Band 6-7,verb,Simple,Past Simple
Suspicion,সন্দেহ,/sʌspˈɪʃʌn/,Every student should understand the suspicion before the exam.,পরীক্ষার আগে প্রতিটি শিক্ষার্থীর সন্দেহ সম্পর্কে বোঝা উচিত।,Medium,IELTS Band 6-7,noun,Simple,Present Simple
Sustain,বজায় রাখা,/sʌstˈeɪn/,The sustain will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে বজায় রাখা বড় ভূমিকা রাখবে।,Medium,IELTS Band 6-7,noun,Simple,Future Simple
Sustained,বহন করা,/sʌstˈeɪnd/,The team is sustaineding new ways to solve it.,দলটি এটি সমাধানের নতুন উপায় বহন করছে।,Medium,IELTS Band 6-7,verb,Simple,Present Continuous
swallow,গলাধঃকরণ,/swˈɑloʊ/,The article discusses the swallow in great detail.,প্রবন্ধটিতে গলাধঃকরণ নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Medium,IELTS Band 6-7,noun,Simple,Present Simple
Sway,দোলনা,/swˈeɪ/,Scientists are still examining the sway closely.,বিজ্ঞানীরা এখনো দোলনা খুব কাছ থেকে পর্যবেক্ষণ করছেন।,Easy,IELTS Band 5-6,noun,Simple,Present Continuous
Swiftly,দ্রুত,/swˈɪftli/,She answered the question swiftly.,সে দ্রুত প্রশ্নের উত্তর দিয়েছিল।,Medium,IELTS Band 6-7,adverb,Simple,Past Simple
Switched off,বন্ধ করা,,Researchers have studied this switched off for many years.,গবেষকরা বহু বছর ধরে এই বন্ধ করা নিয়ে গবেষণা করেছেন।,Hard,IELTS Band 7-9,noun,Simple,Present Perfect
Symbiotic,মিথোজীবী,/sɪmbiˈɑtɪk/,"Although it looked symbiotic, the plan actually worked.","যদিও এটি মিথোজীবী মনে হয়েছিল, পরিকল্পনাটি আসলে কাজ করেছিল।",Medium,IELTS Band 6-7,adjective,Complex,Past Simple
Symbolic,প্রতীকী,/sɪmbˈɑlɪk/,Most experts consider this method quite symbolic.,বেশিরভাগ বিশেষজ্ঞ এই পদ্ধতিটিকে বেশ প্রতীকী মনে করেন।,Medium,IELTS Band 6-7,adjective,Simple,Present Simple
Sympathy,সহানুভূতি,/sˈɪmpʌθi/,The sympathy will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে সহানুভূতি বড় ভূমিকা রাখবে।,Medium,IELTS Band 6-7,noun,Simple,Future Simple
Symptom,উপসর্ণ,/sˈɪmptʌm/,"Because of the symptom, the whole plan had to change.",উপসর্ণ-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Medium,IELTS Band 6-7,noun,Complex,Past Simple
Synchronous,সমকালীন,/sˈɪŋkrʌnʌs/,The result was extremely synchronous.,ফলাফলটি অত্যন্ত সমকালীন ছিল।,Hard,IELTS Band 7-9,adjective,Simple,Past Simple
Syrup,রস,/sˈɜrʌp/,Scientists are still examining the syrup closely.,বিজ্ঞানীরা এখনো রস খুব কাছ থেকে পর্যবেক্ষণ করছেন।,Easy,IELTS Band 5-6,noun,Simple,Present Continuous
Tailor,দর্জি,/tˈeɪlɜr/,The tailor was clearly explained in the report.,প্রতিবেদনে দর্জি বিষয়টি স্পষ্টভাবে ব্যাখ্যা করা হয়েছিল।,Easy,IELTS Band 5-6,noun,Simple,Past Simple
Take up,তোলা,,Researchers have studied this take up for many years.,গবেষকরা বহু বছর ধরে এই তোলা নিয়ে গবেষণা করেছেন।,Medium,IELTS Band 6-7,noun,Simple,Present Perfect
Technical,প্রযুক্তিগত,/tˈɛknɪkʌl/,The area has become increasingly technical in recent years.,সাম্প্রতিক বছরগুলোতে এলাকাটি ক্রমশ প্রযুক্তিগত হয়ে উঠেছে।,Medium,IELTS Band 6-7,adjective,Simple,Present Perfect
Temperament,স্বভাব,/tˈɛmprʌmʌnt/,"Because the situation was so temperament, everyone took notice.",পরিস্থিতিটি এতটাই স্বভাব ছিল যে সবাই লক্ষ্য করেছিল।,Hard,IELTS Band 7-9,adjective,Complex,Past Simple
Temporarily,অস্থায়ীভাবে,/tɛmpɜrˈɛrʌli/,She answered the question temporarily.,সে অস্থায়ীভাবে প্রশ্নের উত্তর দিয়েছিল।,Hard,IELTS Band 7-9,adverb,Simple,Past Simple
Temptation,প্রলোভন,/tɛmtˈeɪʃʌn/,"Because of the temptation, the whole plan had to change.",প্রলোভন-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Hard,IELTS Band 7-9,noun,Complex,Past Simple
Temptations,প্রলোভন,/tɛmtˈeɪʃʌnz/,The article discusses the temptations in great detail.,প্রবন্ধটিতে প্রলোভন নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Hard,IELTS Band 7-9,noun,Simple,Present Simple
Tent,তাবু,/tˈɛnt/,Most experts consider this method quite tent.,বেশিরভাগ বিশেষজ্ঞ এই পদ্ধতিটিকে বেশ তাবু মনে করেন।,Easy,IELTS Band 5-6,adjective,Simple,Present Simple
Terminology,পরিভাষা,/tɜrmɪnˈɑlʌdʒi/,The terminology was clearly explained in the report.,প্রতিবেদনে পরিভাষা বিষয়টি স্পষ্টভাবে ব্যাখ্যা করা হয়েছিল।,Hard,IELTS Band 7-9,noun,Simple,Past Simple
Terrace,ছাদ,/tˈɛrʌs/,Researchers have studied this terrace for many years.,গবেষকরা বহু বছর ধরে এই ছাদ নিয়ে গবেষণা করেছেন।,Medium,IELTS Band 6-7,noun,Simple,Present Perfect
terrestrial,স্থলজ/পার্থিব,/tɜrˈɛstriʌl/,The result was extremely terrestrial.,ফলাফলটি অত্যন্ত স্থলজ/পার্থিব ছিল।,Hard,IELTS Band 7-9,adjective,Simple,Past Simple
Terrible,ভয়ানক,/tˈɛrʌbʌl/,It is terrible to prepare well before the test.,পরীক্ষার আগে ভালোভাবে প্রস্তুতি নেওয়া ভয়ানক।,Medium,IELTS Band 6-7,adjective,Simple,Present Simple
Terrific,ভয়ানক,/tɜrˈɪfɪk/,"Although it looked terrific, the plan actually worked.","যদিও এটি ভয়ানক মনে হয়েছিল, পরিকল্পনাটি আসলে কাজ করেছিল।",Medium,IELTS Band 6-7,adjective,Complex,Past Simple
Territory,অঞ্চল,/tˈɛrɪtɔri/,Most experts consider this method quite territory.,বেশিরভাগ বিশেষজ্ঞ এই পদ্ধতিটিকে বেশ অঞ্চল মনে করেন।,Medium,IELTS Band 6-7,adjective,Simple,Present Simple
Test,পরীক্ষা,/tˈɛst/,The article discusses the test in great detail.,প্রবন্ধটিতে পরীক্ষা নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Easy,IELTS Band 5-6,noun,Simple,Present Simple
Testament,সাক্ষ্য,/tˈɛstʌmʌnt/,"Because the situation was so testament, everyone took notice.",পরিস্থিতিটি এতটাই সাক্ষ্য ছিল যে সবাই লক্ষ্য করেছিল।,Medium,IELTS Band 6-7,adjective,Complex,Past Simple
Thawed,তরল হওয়া,/θˈɔd/,"If we act now, we can thawed this matter.",এখন পদক্ষেপ নিলে আমরা বিষয়টি তরল হওয়া করতে পারবো।,Easy,IELTS Band 5-6,verb,Complex,Present Simple
The prosperous,সমৃদ্ধ,,It is the prosperous to prepare well before the test.,পরীক্ষার আগে ভালোভাবে প্রস্তুতি নেওয়া সমৃদ্ধ।,Hard,IELTS Band 7-9,adjective,Simple,Present Simple
Theme,বিষয়,/θˈim/,"Although the theme seemed minor, it changed everything.","যদিও বিষয় বিষয়টি সামান্য মনে হয়েছিল, এটি সবকিছু বদলে দিয়েছিল।",Easy,IELTS Band 5-6,noun,Complex,Past Simple
